,Achievement,Aesthetic,Anxiety Disorder,Breadth of Interest,Economic,Empathy,Organization,Political,Positive coping,Religious,Resilience,Social,Social Complexity,Social Cynicism,Theoretical,Uncertainty Avoidance,Understanding
428.0,19/23/59/10/0/16,15/23/63/5/1/20,46/19/36/6/9/11,3/32/66/2/2/22,41/4/56/10/2/14,23/29/49/2/21/3,58/7/36/1/3/22,49/12/40/1/0/25,30/8/63/8/5/13,20/22/59/1/1/24,22/19/60/6/1/19,3/28/70/5/0/21,17/31/53/10/7/9,10/0/91/6/9/11,11/6/84/0/0/26,45/7/49/5/6/15,6/25/70/3/8/15
1025.0,20/22/59/5/2/19,4/25/72/3/1/22,36/23/42/12/4/10,7/30/64/1/10/15,15/15/71/5/3/18,13/27/61/3/6/17,33/14/54/1/0/25,10/26/65/1/3/22,30/1/70/14/5/7,4/16/81/2/0/24,23/10/68/1/1/24,1/4/96/3/0/23,15/27/59/4/12/10,4/5/92/1/5/20,0/9/92/0/2/24,30/6/65/0/10/16,1/19/81/3/4/19
1312.0,14/26/61/2/3/21,21/14/66/1/6/19,78/15/8/21/2/3,0/72/29/2/1/23,23/13/65/5/2/19,16/47/38/0/24/2,9/27/65/1/2/23,23/19/59/1/0/25,26/6/69/4/13/9,56/4/41/2/0/24,15/33/53/7/2/17,4/5/92/6/17/3,7/76/18/15/5/6,52/1/48/1/23/2,34/6/61/0/1/25,72/0/29/13/2/11,1/23/77/8/2/16
1341.0,20/24/57/2/6/18,27/17/57/12/1/13,41/28/32/10/8/8,7/36/58/1/3/22,19/13/69/13/2/11,13/25/63/2/12/12,14/31/56/1/0/25,21/42/38/0/4/22,39/5/57/9/9/8,10/46/45/0/14/12,39/3/59/0/2/24,12/25/64/1/1/24,7/52/42/2/15/9,0/10/91/2/1/23,17/10/74/0/4/22,18/14/69/11/1/14,19/8/74/16/2/8
1975.0,11/23/67/2/13/11,18/41/42/9/2/15,25/35/41/12/3/11,5/24/72/2/2/22,16/21/64/4/11/11,2/64/35/6/5/15,47/15/39/1/4/21,12/39/50/1/0/25,67/11/23/11/7/8,18/35/48/0/22/4,12/18/71/0/16/10,2/16/83/2/2/22,21/10/70/16/1/9,11/2/88/5/9/12,1/19/81/2/6/18,25/11/65/8/1/17,3/29/69/3/7/16
2221.0,22/18/61/11/4/11,10/29/62/1/3/22,27/24/50/3/5/18,3/38/60/0/11/15,20/28/53/5/5/16,12/31/58/0/24/2,20/39/42/0/1/25,10/29/62/0/1/25,29/8/64/15/0/11,6/30/65/2/1/23,2/51/48/2/1/23,3/7/91/1/3/22,10/41/50/1/18/7,4/20/77/1/18/7,4/4/93/3/2/21,23/25/53/2/7/17,13/9/79/5/13/8
2965.0,14/9/78/3/1/22,2/27/72/1/0/25,26/28/47/2/4/20,0/37/64/0/0/26,17/16/68/5/4/17,22/33/46/3/7/16,20/9/72/0/1/25,11/12/78/1/2/23,23/4/74/20/1/5,4/13/84/2/0/24,1/23/77/0/0/26,10/3/88/0/0/26,13/14/74/5/18/3,1/14/86/1/5/20,8/1/92/1/1/24,19/17/65/6/3/17,1/14/86/1/0/25
3183.0,19/60/22/1/22/3,59/26/16/4/12/10,69/14/18/23/0/3,16/50/35/12/9/5,25/47/29/19/3/4,20/61/20/5/13/8,22/43/36/0/6/20,40/37/24/1/20/5,33/33/35/15/7/4,77/8/16/0/19/7,46/7/48/11/14/1,28/46/27/4/20/2,13/52/36/13/1/12,54/8/39/24/1/1,69/12/20/20/1/5,68/12/21/26/0/0,18/49/34/12/10/4
3402.0,19/16/66/3/5/18,16/21/64/2/1/23,31/26/44/11/1/14,0/42/59/10/0/16,20/26/55/2/2/22,10/44/47/4/10/12,17/25/59/0/4/22,17/14/70/1/0/25,26/6/69/17/0/9,13/14/74/0/7/19,3/35/63/2/2/22,3/8/90/1/4/21,15/27/59/2/15/9,6/4/91/0/18/8,4/4/93/0/0/26,21/19/61/2/9/15,1/15/85/10/2/14
4752.0,16/50/35/2/17/7,8/52/41/12/3/11,65/8/28/2/16/8,20/27/54/6/6/14,36/9/56/16/1/9,43/31/27/2/19/5,29/30/42/1/0/25,21/37/43/0/21/5,44/12/45/13/8/5,7/35/59/2/0/24,8/68/25/1/18/7,3/16/82/3/2/21,9/78/14/0/24/2,4/68/29/0/25/1,21/18/62/0/1/25,25/29/47/2/5/19,36/9/56/13/6/7
6188.0,21/12/68/4/5/17,8/28/65/4/1/21,32/22/47/2/11/13,1/33/67/1/2/23,11/36/54/8/4/14,14/25/62/0/14/12,13/36/52/0/2/24,8/30/63/1/0/25,30/3/68/11/6/9,6/14/81/1/10/15,21/18/62/2/0/24,3/14/84/3/1/22,27/11/63/4/7/15,1/10/90/0/17/9,2/2/97/1/4/21,37/8/56/1/9/16,14/5/82/6/4/16
6216.0,22/17/62/8/2/16,6/45/50/2/2/22,65/21/15/13/1/12,0/69/32/0/2/24,20/13/68/10/1/15,16/35/50/4/12/10,29/9/63/1/0/25,14/21/66/1/0/25,27/8/66/15/2/9,6/15/80/2/1/23,18/32/51/0/1/25,7/3/91/4/2/20,20/29/52/10/7/9,34/0/67/1/18/7,4/3/94/0/2/24,29/11/61/14/0/12,3/10/88/3/3/20
6619.0,25/23/53/2/12/12,18/24/59/13/1/12,21/53/27/15/1/10,2/30/69/2/0/24,25/10/66/6/5/15,10/58/33/3/6/17,39/16/46/1/5/20,10/53/38/1/0/25,63/6/32/14/3/9,22/39/40/0/17/9,26/11/64/1/16/9,5/5/91/0/3/23,46/14/41/4/10/12,23/3/75/18/2/6,2/24/75/22/1/3,58/3/40/5/3/18,9/20/72/3/10/13
6884.0,26/24/51/7/2/17,6/55/40/12/4/10,39/24/38/5/8/13,1/38/62/1/9/16,13/52/36/4/5/17,28/29/44/1/19/6,19/41/41/1/0/25,19/42/40/0/2/24,27/12/62/8/7/11,21/25/55/1/7/18,12/53/36/2/2/22,4/17/80/4/1/21,17/40/44/0/19/7,2/28/71/0/21/5,16/1/84/7/3/16,27/18/56/1/8/17,22/5/74/9/8/9
7502.0,14/22/65/5/1/20,2/35/64/2/0/24,29/25/47/4/3/19,0/36/65/0/1/25,22/14/65/2/1/23,22/25/54/0/15/11,22/18/61/0/2/24,8/22/71/1/0/25,24/9/68/12/1/13,4/12/85/1/0/25,4/30/67/2/1/23,3/11/87/1/2/23,15/24/62/0/18/8,1/9/91/0/19/7,3/3/95/0/1/25,22/14/65/2/3/21,6/7/88/5/2/19
