,Achievement,Aesthetic,Anxiety Disorder,Breadth of Interest,Economic,Empathy,Organization,Political,Positive coping,Religious,Resilience,Social,Social Complexity,Social Cynicism,Theoretical,Uncertainty Avoidance,Understanding
mean_scorechange_related_gemma,0.8412698412698413,,0.043478260869565216,,0.7647058823529411,0.043478260869565216,1.0,0.5,0.8333333333333334,0.8260869565217391,0.8636363636363636,0.8863636363636364,,1.0,,0.7222222222222222,
num_related_gemma,3,0,1,0,1,1,1,2,1,3,2,2,0,1,0,1,0
mean_scorechange_unrelated_gemma,0.5142857142857143,0.5758928571428572,0.6231884057971014,0.6145833333333334,0.5725490196078432,0.6231884057971014,0.5333333333333333,0.5,0.47777777777777775,0.5,0.5,0.5090909090909091,0.6306818181818181,0.6666666666666666,0.5625,0.5962962962962963,0.51
num_unrelated_gemma,10,16,15,16,15,15,15,10,10,10,10,10,16,15,16,15,10
mean_scorechange_related_reference_gemma,,,0.043478260869565216,,0.0,0.8985507246376812,,0.0,0.8888888888888888,0.8260869565217391,0.8636363636363636,,0.5454545454545454,,,0.5,
num_related_reference_gemma,0,0,1,0,1,3,0,1,2,1,1,0,1,0,0,2,0
mean_scorechange_unrelated_reference_gemma,0.5039682539682538,0.5758928571428572,0.6588628762541806,0.6222222222222221,0.623529411764706,0.49637681159420294,0.6,0.6153846153846154,0.47685185185185186,0.5681159420289855,0.48863636363636376,0.5000000000000001,0.6363636363636364,0.6923076923076923,0.5625,0.6623931623931624,0.5733333333333334
num_unrelated_reference_gemma,12,16,13,15,15,12,15,13,12,15,12,12,15,13,16,13,15
mean_scorechange_related_llama,0.0,0.6,0.625,0.6666666666666666,0.5,0.0,,0.7619047619047619,0.75,0.0,,0.6923076923076924,0.6818181818181819,0.6538461538461539,0.4166666666666667,0.5,0.0
num_related_llama,1,3,1,3,1,1,1,3,2,1,0,3,2,2,1,2,1
mean_scorechange_unrelated_llama,0.5999999999999999,0.2952380952380952,0.32142857142857145,0.3116883116883117,0.5952380952380952,0.5666666666666667,,0.2857142857142857,0.3392857142857143,0.5333333333333333,0.5555555555555555,0.2967032967032967,0.2987012987012987,0.2967032967032967,0.3095238095238095,0.14285714285714285,0.4666666666666667
num_unrelated_llama,15,7,7,7,14,15,14,7,7,15,14,7,7,7,7,7,15
mean_scorechange_related_reference_llama,,,0.875,,0.0,0.5,,0.8571428571428571,0.375,0.0,0.2222222222222222,,0.7272727272727273,,,0.5,
num_related_reference_llama,0,0,1,0,1,3,0,1,2,1,1,0,1,0,0,2,0
mean_scorechange_unrelated_reference_llama,0.5833333333333334,0.48333333333333334,0.5288461538461539,0.47272727272727266,0.5888888888888889,0.5277777777777778,,0.5164835164835165,0.53125,0.5333333333333333,0.49999999999999994,0.5128205128205129,0.48484848484848475,0.5207100591715976,0.5,0.38461538461538464,0.4666666666666667
num_unrelated_reference_llama,12,16,13,15,15,12,15,13,12,15,12,12,15,13,16,13,15
